NP_code,Model,bins,fpr,tpr
NP19,FC-Based Model,-0.1,0.0,0.0
NP19,Shuffled Baseline,-0.1,0.0,0.0
NP19,IEA Cycle-Based Model,-0.1,0.0,0.0
NP19,IEA Cycle-Based Model,0.0,0.06931702344546381,0.04586129753914989
NP19,FC-Based Model,0.0,0.04401485364788117,0.04602109300095877
NP19,Shuffled Baseline,0.0,0.047145769622833844,0.05704697986577181
NP19,FC-Based Model,0.1,0.15192660550458714,0.1806711409395973
NP19,Shuffled Baseline,0.1,0.1573012232415902,0.17323825503355705
NP19,IEA Cycle-Based Model,0.1,0.1654434250764526,0.14563758389261744
NP19,IEA Cycle-Based Model,0.2,0.2327217125382263,0.25973154362416107
NP19,FC-Based Model,0.2,0.24569954128440366,0.34794463087248323
NP19,Shuffled Baseline,0.2,0.24223402543054884,0.26951607205934297
NP19,Shuffled Baseline,0.3,0.33855759429153925,0.3420022371364653
NP19,IEA Cycle-Based Model,0.3,0.34306366416458156,0.42892007321537523
NP19,FC-Based Model,0.3,0.34687636522498905,0.487535953978907
NP19,FC-Based Model,0.4,0.44453711426188486,0.6073825503355704
NP19,IEA Cycle-Based Model,0.4,0.4625382262996942,0.537751677852349
NP19,Shuffled Baseline,0.4,0.46091360856269115,0.46581375838926176
NP19,Shuffled Baseline,0.5,0.5521872091477197,0.5818500145900204
NP19,FC-Based Model,0.5,0.5503058103975536,0.6875838926174497
NP19,IEA Cycle-Based Model,0.5,0.5611620795107033,0.6040268456375839
NP19,Shuffled Baseline,0.6,0.6565137614678899,0.6808053691275169
NP19,FC-Based Model,0.6,0.65565749235474,0.7691275167785234
NP19,IEA Cycle-Based Model,0.6,0.6874617737003058,0.636241610738255
NP19,FC-Based Model,0.7,0.7564220183486239,0.85
NP19,Shuffled Baseline,0.7,0.7530317410102289,0.8211062254107846
NP19,IEA Cycle-Based Model,0.7,0.7660550458715596,0.7348993288590604
NP19,Shuffled Baseline,0.8,0.8594881699661999,0.9279406570116567
NP19,FC-Based Model,0.8,0.8473496432212029,0.8998881431767338
NP19,IEA Cycle-Based Model,0.8,0.8707951070336392,0.8611577181208053
NP19,IEA Cycle-Based Model,0.9,0.9536697247706423,0.9436241610738255
NP19,Shuffled Baseline,0.9,0.9567160668078099,0.9814145585957667
NP19,FC-Based Model,0.9,0.9541284403669725,0.9604772557792693
NP38,IEA Cycle-Based Model,-0.1,0.0,0.0
NP38,FC-Based Model,-0.1,0.0,0.0
NP38,Shuffled Baseline,-0.1,0.0,0.0
NP38,FC-Based Model,0.1,0.1414141414141414,0.5
NP38,IEA Cycle-Based Model,0.1,0.17424242424242425,0.5576923076923077
NP38,Shuffled Baseline,0.1,0.18181818181818182,0.19230769230769232
NP38,IEA Cycle-Based Model,0.3,0.35353535353535354,0.8269230769230769
NP38,IEA Cycle-Based Model,0.8,0.8207070707070707,1.0
NP38,IEA Cycle-Based Model,0.9,1.0,1.0
NP38,Shuffled Baseline,0.9,1.0,1.0
NP38,FC-Based Model,0.9,1.0,1.0
NP17,FC-Based Model,-0.1,0.0,0.0045871559633027525
NP17,Shuffled Baseline,-0.1,0.0,0.0
NP17,IEA Cycle-Based Model,-0.1,0.0,0.0
NP17,IEA Cycle-Based Model,0.0,0.04951370468611848,0.0402258292166549
NP17,Shuffled Baseline,0.0,0.04022988505747127,0.01703800786369594
NP17,FC-Based Model,0.0,0.051201671891327065,0.09549624687239366
NP17,FC-Based Model,0.1,0.138752052545156,0.3551769331585845
NP17,Shuffled Baseline,0.1,0.15038314176245213,0.10091743119266056
NP17,IEA Cycle-Based Model,0.1,0.13362068965517243,0.10665137614678899
NP17,IEA Cycle-Based Model,0.2,0.24584929757343554,0.253822629969419
NP17,Shuffled Baseline,0.2,0.24928160919540232,0.2029816513761468
NP17,FC-Based Model,0.2,0.2449712643678161,0.46903669724770647
NP17,Shuffled Baseline,0.3,0.3403575989782886,0.3924566768603466
NP17,FC-Based Model,0.3,0.3448275862068965,0.5321100917431193
NP17,IEA Cycle-Based Model,0.3,0.33764367816091956,0.3669724770642202
NP17,IEA Cycle-Based Model,0.4,0.4412024756852343,0.5222300635144672
NP17,FC-Based Model,0.4,0.46551724137931033,0.5657492354740061
NP17,Shuffled Baseline,0.4,0.4578544061302682,0.5749235474006116
NP17,FC-Based Model,0.5,0.548440065681445,0.6238532110091743
NP17,IEA Cycle-Based Model,0.5,0.5475444096133751,0.628023352793995
NP17,Shuffled Baseline,0.5,0.5566502463054187,0.6834862385321101
NP17,Shuffled Baseline,0.6,0.6551724137931034,0.7438837920489297
NP17,FC-Based Model,0.6,0.6577266922094508,0.744138634046891
NP17,IEA Cycle-Based Model,0.6,0.6467727674624226,0.7473535638673253
NP17,IEA Cycle-Based Model,0.7,0.7593869731800766,0.8727828746177371
NP17,Shuffled Baseline,0.7,0.7519157088122604,0.8195718654434251
NP17,FC-Based Model,0.7,0.7229885057471265,0.836697247706422
NP17,FC-Based Model,0.8,0.8436781609195403,0.9055045871559633
NP17,Shuffled Baseline,0.8,0.8544061302681992,0.874617737003058
NP17,IEA Cycle-Based Model,0.8,0.8586206896551725,0.9357798165137614
NP17,FC-Based Model,0.9,0.9623824451410659,0.9716430358632194
NP17,Shuffled Baseline,0.9,0.9503932244404114,0.9468855625301787
NP17,IEA Cycle-Based Model,0.9,0.9597701149425287,0.9749791492910759
NP32,IEA Cycle-Based Model,-0.1,0.0,0.0
NP32,FC-Based Model,-0.1,0.0,0.015060240963855422
NP32,Shuffled Baseline,-0.1,0.0,0.0
NP32,Shuffled Baseline,0.0,0.035211267605633804,0.05120481927710843
NP32,FC-Based Model,0.0,0.05633802816901408,0.21686746987951808
NP32,IEA Cycle-Based Model,0.1,0.15492957746478872,0.27409638554216864
NP32,Shuffled Baseline,0.2,0.2535211267605634,0.25301204819277107
NP32,IEA Cycle-Based Model,0.3,0.3556338028169014,0.6265060240963856
NP32,IEA Cycle-Based Model,0.6,0.6056338028169014,0.8433734939759037
NP32,FC-Based Model,0.8,0.8732394366197183,0.9698795180722891
NP32,IEA Cycle-Based Model,0.9,1.0,1.0
NP32,FC-Based Model,0.9,1.0,1.0
NP32,Shuffled Baseline,0.9,0.971830985915493,0.963855421686747
NP5,FC-Based Model,-0.1,0.0,0.0
NP5,Shuffled Baseline,-0.1,0.0,0.0
NP5,IEA Cycle-Based Model,-0.1,0.0,0.0
NP5,FC-Based Model,0.0,0.05293120763243786,0.049984289903644744
NP5,IEA Cycle-Based Model,0.0,0.04947370410265132,0.06402737047898338
NP5,Shuffled Baseline,0.0,0.05046447401456189,0.050397989107666526
NP5,IEA Cycle-Based Model,0.1,0.1467161361713207,0.21578690127077224
NP5,Shuffled Baseline,0.1,0.14862451131594995,0.1386228978394877
NP5,FC-Based Model,0.1,0.14575069043434596,0.1464573732718894
NP5,FC-Based Model,0.2,0.24963195028144977,0.26383399209486164
NP5,Shuffled Baseline,0.2,0.25214411247803165,0.23293010752688173
NP5,IEA Cycle-Based Model,0.2,0.2502493706360139,0.3322897677736387
NP5,Shuffled Baseline,0.3,0.3498744664825509,0.3411185588604943
NP5,FC-Based Model,0.3,0.3488524759640236,0.39552785923753664
NP5,IEA Cycle-Based Model,0.3,0.3600688342120679,0.4210654936461388
NP5,Shuffled Baseline,0.4,0.45648636334049336,0.43502226566742697
NP5,FC-Based Model,0.4,0.44932630345635616,0.5066898826979472
NP5,IEA Cycle-Based Model,0.4,0.4481301344668329,0.5171349655595717
NP5,FC-Based Model,0.5,0.5512365051468742,0.6070773984080436
NP5,Shuffled Baseline,0.5,0.5501960254157091,0.5274644710128581
NP5,IEA Cycle-Based Model,0.5,0.549213323290652,0.6314236838430387
NP5,Shuffled Baseline,0.6,0.6498775533723242,0.6326979472140762
NP5,FC-Based Model,0.6,0.6535690144653239,0.7037418226934355
NP5,IEA Cycle-Based Model,0.6,0.6505197087622395,0.719082530372853
NP5,Shuffled Baseline,0.7,0.7539126031396146,0.7404070778865749
NP5,IEA Cycle-Based Model,0.7,0.7472918996644832,0.8042855238603039
NP5,FC-Based Model,0.7,0.7503197098306099,0.7931147438697198
NP5,IEA Cycle-Based Model,0.8,0.8519525054653007,0.8849688863457549
NP5,Shuffled Baseline,0.8,0.8531125705300157,0.8521248135000257
NP5,FC-Based Model,0.8,0.8518423639450716,0.8883393806849247
NP5,FC-Based Model,0.9,0.9521329285828407,0.9708077845907758
NP5,Shuffled Baseline,0.9,0.9562869467966129,0.9512929885363903
NP5,IEA Cycle-Based Model,0.9,0.9541702839477418,0.9605695509309968
NP21,FC-Based Model,-0.1,0.0,0.0
NP21,Shuffled Baseline,-0.1,0.0,0.0
